restaurant_id,name,slug,lat,lng,address,open_hours,is_open,rating,review_count,price_avg,price_range_label,avg_prep_time,cuisine_type,cover_image_url,phone_number
R5,Sushi Tei,sushi-tei,10.7782,106.6991,200 Lý Tự Trọng Quận 1,10:30-22:00,True,4.8,1500,150000,over100k,25,jp,https://images.unsplash.com/photo-1517248135467-4c7edcad34c4?auto=format&fit=crop&w=800&q=80,904567890
R19,Kichi Kichi Vincom,kichi-kichi-vincom,10.778,106.702,72 Lê Thánh Tôn Quận 1,10:00-22:00,True,4.1,950,250000,over100k,10,jp,https://images.unsplash.com/photo-1517248135467-4c7edcad34c4?auto=format&fit=crop&w=800&q=80,19006622
R13,Tokyo Deli,tokyo-deli,10.78124160364882,106.609370629894,Mock Address for Tokyo Deli,09:00-22:00,True,4.2,1077,100000,50-100k,15,jp,https://images.unsplash.com/photo-1517248135467-4c7edcad34c4?auto=format&fit=crop&w=800&q=80,904417394
R14,Marukame Udon,marukame-udon,10.740135374454622,106.62158079002752,Mock Address for Marukame Udon,09:00-22:00,True,4.7,1689,100000,50-100k,15,jp,https://images.unsplash.com/photo-1517248135467-4c7edcad34c4?auto=format&fit=crop&w=800&q=80,902203306
R15,Sukiya,sukiya,10.720833812747609,106.6371062774524,Mock Address for Sukiya,09:00-22:00,True,4.4,496,200000,50-100k,15,jp,https://images.unsplash.com/photo-1517248135467-4c7edcad34c4?auto=format&fit=crop&w=800&q=80,908497441
R10,TukTuk Thai Bistro,tuktuk-thai-bistro,10.7794,106.7022,17/11 Lê Thánh Tôn Quận 1,10:00-22:30,True,4.5,890,95000,50-100k,20,th,https://images.unsplash.com/photo-1517248135467-4c7edcad34c4?auto=format&fit=crop&w=800&q=80,908901234
R16,Chang Modern Thai,chang-modern-thai,10.790061156157282,106.64683164429368,Mock Address for Chang Modern Thai,09:00-22:00,True,4.8,1278,200000,50-100k,15,th,https://images.unsplash.com/photo-1517248135467-4c7edcad34c4?auto=format&fit=crop&w=800&q=80,906876146
R17,Koh Yam,koh-yam,10.77108339439114,106.6788174683424,Mock Address for Koh Yam,09:00-22:00,True,4.5,394,100000,50-100k,15,th,https://images.unsplash.com/photo-1517248135467-4c7edcad34c4?auto=format&fit=crop&w=800&q=80,902031886
R18,Koh Yam,koh-yam,10.79135856093838,106.64275808897816,Mock Address for Koh Yam,09:00-22:00,True,4.2,1708,200000,50-100k,15,th,https://images.unsplash.com/photo-1517248135467-4c7edcad34c4?auto=format&fit=crop&w=800&q=80,907605622
R19,ThaiExpress,thaiexpress,10.715890712506615,106.61423999315171,Mock Address for ThaiExpress,09:00-22:00,True,4.1,470,50000,50-100k,15,th,https://images.unsplash.com/photo-1517248135467-4c7edcad34c4?auto=format&fit=crop&w=800&q=80,906622888
R14,Haidilao Bitexco,haidilao-bitexco,10.7716,106.7044,2 Hải Triều Quận 1,10:00-02:00,True,4.8,3200,350000,over100k,15,cn,https://images.unsplash.com/photo-1563245372-f21724e3856d?auto=format&fit=crop&w=800&q=80,2822539156
R20,Crystal Jade,crystal-jade,10.764887645186832,106.64322347116568,Mock Address for Crystal Jade,09:00-22:00,True,4.9,1650,100000,50-100k,15,cn,https://images.unsplash.com/photo-1563245372-f21724e3856d?auto=format&fit=crop&w=800&q=80,908213010
R21,Kowloon,kowloon,10.702664893627272,106.6377240475148,Mock Address for Kowloon,09:00-22:00,True,4.5,1141,200000,50-100k,15,cn,https://images.unsplash.com/photo-1563245372-f21724e3856d?auto=format&fit=crop&w=800&q=80,905515373
R22,Kowloon,kowloon,10.788907626308951,106.6879065852053,Mock Address for Kowloon,09:00-22:00,True,4.5,884,200000,50-100k,15,cn,https://images.unsplash.com/photo-1563245372-f21724e3856d?auto=format&fit=crop&w=800&q=80,909854039
R23,San Fu Lou,san-fu-lou,10.70344306401644,106.69509118909455,Mock Address for San Fu Lou,09:00-22:00,True,4.2,1147,100000,50-100k,15,cn,https://images.unsplash.com/photo-1563245372-f21724e3856d?auto=format&fit=crop&w=800&q=80,909072710
R15,Gong Cha Phan Xích Long,gong-cha-phan-xich-long,10.7963,106.6885,240 Phan Xích Long Phú Nhuận,09:00-22:00,True,4.5,1200,55000,50-100k,5,tw,https://images.unsplash.com/photo-1558138838-762949fc9c08?auto=format&fit=crop&w=800&q=80,2862751888
R24,Kao Ba,kao-ba,10.759996147987232,106.60304790130095,Mock Address for Kao Ba,09:00-22:00,True,4.8,1101,100000,50-100k,15,tw,https://images.unsplash.com/photo-1558138838-762949fc9c08?auto=format&fit=crop&w=800&q=80,907975303
R25,Kao Ba,kao-ba,10.770045821482206,106.68849834669956,Mock Address for Kao Ba,09:00-22:00,True,4.2,1129,200000,50-100k,15,tw,https://images.unsplash.com/photo-1558138838-762949fc9c08?auto=format&fit=crop&w=800&q=80,905342460
R26,Bao Bei,bao-bei,10.705129014596135,106.61695086515846,Mock Address for Bao Bei,09:00-22:00,True,4.5,864,100000,50-100k,15,tw,https://images.unsplash.com/photo-1558138838-762949fc9c08?auto=format&fit=crop&w=800&q=80,903201316
R27,Kao Ba,kao-ba,10.705846068757843,106.6390765000569,Mock Address for Kao Ba,09:00-22:00,True,4.5,875,200000,50-100k,15,tw,https://images.unsplash.com/photo-1558138838-762949fc9c08?auto=format&fit=crop&w=800&q=80,905627746
