dish_id,restaurant_id,name,price,calories,protein_g,carb_g,fat_g,diet_tags,cuisine_type,food_category,rating,order_count,is_available,image_url
D0056,R17,Tteokbokki Nhỏ,59000,663,50.4,65.6,22.1,"[""high_protein""]",kr,main,4.9,306,True,https://loremflickr.com/400/300/tteokbokki?lock=56
D0057,R18,Jajangmyeon Nhỏ,111000,409,38.2,11.0,23.6,"[""high_protein""]",kr,main,4.3,1074,True,https://loremflickr.com/400/300/jajangmyeon?lock=57
D0058,R18,Tteokbokki Đặc biệt,121000,476,41.5,29.0,21.6,"[""low_carb"", ""healthy""]",kr,main,4.2,3278,True,https://loremflickr.com/400/300/tteokbokki?lock=58
D0059,R18,Kimchi Đặc biệt,227000,748,104.4,17.4,29.0,"[""low_carb""]",kr,main,4.1,4341,True,https://loremflickr.com/400/300/kimchi?lock=59
D0060,R18,Tteokbokki Nhỏ,26000,863,57.9,85.5,32.2,"[""bulking"", ""high_protein""]",kr,main,4.4,3963,True,https://loremflickr.com/400/300/tteokbokki?lock=60
D0061,R18,Kimbap Nhỏ,30000,274,5.0,44.7,8.4,"[""eat_clean"", ""healthy""]",kr,main,4.3,3647,True,https://loremflickr.com/400/300/kimbap?lock=61
D0062,R18,Jajangmyeon Đặc biệt,245000,394,57.2,5.0,16.2,"[""high_protein""]",kr,main,4.7,4213,True,https://loremflickr.com/400/300/jajangmyeon?lock=62
D0063,R18,Bibimbap Nhỏ,132000,1012,43.0,167.4,18.9,"[""high_protein""]",kr,main,4.9,4235,True,https://loremflickr.com/400/300/bibimbap?lock=63
D0064,R18,Jajangmyeon Mix,155000,677,81.9,57.8,13.1,"[""eat_clean"", ""healthy""]",kr,main,4.6,629,True,https://loremflickr.com/400/300/jajangmyeon?lock=64
D0065,R10,Bulgogi Truyền thống,19000,450,57.6,40.1,6.6,"[""eat_clean"", ""healthy""]",kr,main,4.6,1769,True,https://loremflickr.com/400/300/bulgogi?lock=65
D0066,R10,Fried Chicken Lớn,176000,748,51.4,100.0,15.8,"[""high_protein""]",kr,main,4.2,3048,True,https://loremflickr.com/400/300/friedchicken?lock=66
D0067,R10,Fried Chicken Đặc biệt,92000,1004,180.6,45.2,11.2,"[""healthy""]",kr,main,4.7,911,True,https://loremflickr.com/400/300/friedchicken?lock=67
D0068,R10,Fried Chicken Truyền thống,19000,922,45.3,146.0,17.4,"[""high_protein""]",kr,main,4.6,1568,True,https://loremflickr.com/400/300/friedchicken?lock=68
D0069,R10,Samgyeopsal Truyền thống,24000,906,150.5,45.8,13.4,"[""eat_clean"", ""healthy""]",kr,main,4.7,3531,True,https://loremflickr.com/400/300/samgyeopsal?lock=69
D0070,R10,Fried Chicken Đặc biệt,141000,1013,160.1,26.7,29.6,"[""low_carb""]",kr,main,4.1,463,True,https://loremflickr.com/400/300/friedchicken?lock=70
D0071,R10,Pancake Lớn,26000,216,5.9,21.8,11.7,"[""eat_clean"", ""healthy""]",kr,main,4.9,1867,True,https://loremflickr.com/400/300/pajeon?lock=71
D0072,R10,Bibimbap Nhỏ,19000,286,5.0,16.9,22.1,"[""low_carb"", ""healthy""]",kr,main,4.8,4427,True,https://loremflickr.com/400/300/bibimbap?lock=72
D0073,R11,Bulgogi Mix,39000,855,51.6,115.6,20.7,"[""bulking"", ""high_protein""]",kr,main,4.9,1705,True,https://loremflickr.com/400/300/bulgogi?lock=73
D0074,R11,Fried Chicken Truyền thống,162000,983,157.0,63.0,11.4,"[""eat_clean"", ""healthy""]",kr,main,4.5,1691,True,https://loremflickr.com/400/300/friedchicken?lock=74
D0075,R11,Bulgogi Mix,18000,911,47.2,110.8,31.0,"[""bulking"", ""high_protein""]",kr,main,4.9,1590,True,https://loremflickr.com/400/300/bulgogi?lock=75
D0076,R11,Tteokbokki Truyền thống,29000,737,123.9,42.5,8.0,"[""eat_clean"", ""healthy""]",kr,main,4.6,3959,True,https://loremflickr.com/400/300/tteokbokki?lock=76
D0077,R11,Pancake Lớn,169000,1009,163.0,58.7,13.6,"[""healthy""]",kr,main,4.6,2798,True,https://loremflickr.com/400/300/pajeon?lock=77
D0078,R11,Mandu Truyền thống,113000,450,43.6,42.5,11.7,"[""healthy""]",kr,main,4.2,2823,True,https://loremflickr.com/400/300/mandu?lock=78
D0079,R11,Bibimbap Lớn,84000,920,47.1,111.5,31.7,"[""bulking"", ""high_protein""]",kr,main,4.6,3517,True,https://loremflickr.com/400/300/bibimbap?lock=79
D0080,R11,Bibimbap Truyền thống,92000,403,38.7,11.3,22.5,"[""low_carb"", ""healthy""]",kr,main,4.2,4115,True,https://loremflickr.com/400/300/bibimbap?lock=80
D0081,R3,Fries Truyền thống,87000,264,5.0,37.7,10.4,"[""healthy""]",eu,main,4.5,2692,True,https://loremflickr.com/400/300/frenchfries?lock=81
D0082,R3,Sandwich Mix,19000,990,53.9,112.2,36.3,"[""bulking"", ""high_protein""]",eu,main,4.3,4360,True,https://loremflickr.com/400/300/sandwich?lock=82
D0083,R3,Pasta Đặc biệt,91000,888,55.1,115.7,22.8,"[""bulking"", ""high_protein""]",eu,main,4.9,680,True,https://loremflickr.com/400/300/pasta?lock=83
D0084,R3,Steak Đặc biệt,47000,393,53.8,5.0,17.5,"[""high_protein""]",eu,main,4.4,599,True,https://loremflickr.com/400/300/steak?lock=84
D0085,R3,Salad Đặc biệt,72000,1050,45.9,115.5,44.9,"[""bulking"", ""high_protein""]",eu,main,4.7,1992,True,https://loremflickr.com/400/300/salad?lock=85
D0086,R3,Steak Mix,20000,492,48.3,30.0,19.8,"[""low_carb"", ""healthy""]",eu,main,4.1,3582,True,https://loremflickr.com/400/300/steak?lock=86
D0087,R3,Garlic Bread Nhỏ,18000,489,48.3,31.4,18.9,"[""high_protein""]",eu,main,5.0,1651,True,https://loremflickr.com/400/300/garlicbread?lock=87
D0088,R3,Fries Truyền thống,167000,299,28.7,20.1,11.5,"[""eat_clean"", ""healthy""]",eu,main,4.5,4038,True,https://loremflickr.com/400/300/frenchfries?lock=88
D0089,R8,Waffles Truyền thống,41000,990,48.8,165.1,14.9,"[""high_protein""]",eu,main,4.9,185,True,https://loremflickr.com/400/300/waffles?lock=89
D0090,R8,Sandwich Truyền thống,30000,450,58.9,27.9,11.4,"[""eat_clean"", ""healthy""]",eu,main,4.6,3029,True,https://loremflickr.com/400/300/sandwich?lock=90
D0091,R8,Waffles Nhỏ,82000,450,74.5,24.5,6.0,"[""healthy""]",eu,main,4.4,1052,True,https://loremflickr.com/400/300/waffles?lock=91
D0092,R8,Steak Nhỏ,75000,282,15.8,28.4,11.7,"[""eat_clean"", ""healthy""]",eu,main,4.6,693,True,https://loremflickr.com/400/300/steak?lock=92
D0093,R8,Burger Đặc biệt,94000,993,55.4,160.8,14.2,"[""high_protein""]",eu,main,4.5,4914,True,https://loremflickr.com/400/300/burger?lock=93
D0094,R8,Sandwich Nhỏ,188000,407,50.2,20.3,13.9,"[""eat_clean"", ""healthy""]",eu,main,5.0,2789,True,https://loremflickr.com/400/300/sandwich?lock=94
D0095,R8,Sandwich Nhỏ,47000,737,100.5,32.2,22.9,"[""low_carb""]",eu,main,4.1,3180,True,https://loremflickr.com/400/300/sandwich?lock=95
D0096,R8,Garlic Bread Đặc biệt,17000,665,39.4,79.0,21.3,"[""high_protein""]",eu,main,4.2,4463,True,https://loremflickr.com/400/300/garlicbread?lock=96
D0097,R9,Pizza Lớn,40000,653,81.8,64.9,7.3,"[""healthy""]",eu,main,4.3,2810,True,https://loremflickr.com/400/300/pizza?lock=97
D0098,R9,Salad Nhỏ,40000,404,42.4,33.5,11.2,"[""healthy""]",eu,main,4.1,4571,True,https://loremflickr.com/400/300/salad?lock=98
D0099,R9,Soup Đặc biệt,92000,723,113.1,47.8,8.8,"[""healthy""]",eu,main,4.2,1717,True,https://loremflickr.com/400/300/soup?lock=99
D0100,R9,Garlic Bread Mix,141000,251,5.0,36.3,9.5,"[""healthy""]",eu,main,4.1,4150,True,https://loremflickr.com/400/300/garlicbread?lock=100
D0101,R9,Fries Lớn,78000,423,50.4,30.3,11.1,"[""eat_clean"", ""healthy""]",eu,main,4.2,2545,True,https://loremflickr.com/400/300/frenchfries?lock=101
D0102,R9,Garlic Bread Nhỏ,19000,282,5.0,40.4,11.1,"[""healthy""]",eu,main,4.1,1842,True,https://loremflickr.com/400/300/garlicbread?lock=102
D0103,R9,Sandwich Mix,243000,332,5.0,23.5,24.3,"[""low_carb"", ""healthy""]",eu,main,4.4,3457,True,https://loremflickr.com/400/300/sandwich?lock=103
D0104,R9,Pasta Truyền thống,62000,276,10.4,23.4,15.7,"[""low_carb"", ""healthy""]",eu,main,4.6,3786,True,https://loremflickr.com/400/300/pasta?lock=104
D0105,R12,Sandwich Lớn,153000,895,37.5,113.7,32.2,"[""bulking"", ""high_protein""]",eu,main,4.3,3832,True,https://loremflickr.com/400/300/sandwich?lock=105
D0106,R12,Salad Mix,27000,450,60.1,33.0,8.6,"[""healthy""]",eu,main,4.4,3356,True,https://loremflickr.com/400/300/salad?lock=106
D0107,R12,Steak Nhỏ,32000,1043,43.8,99.0,52.4,"[""bulking"", ""high_protein""]",eu,main,4.1,2908,True,https://loremflickr.com/400/300/steak?lock=107
D0108,R12,Pasta Lớn,168000,713,88.4,69.7,9.0,"[""healthy""]",eu,main,4.6,2359,True,https://loremflickr.com/400/300/pasta?lock=108
D0109,R12,Burger Nhỏ,164000,862,40.3,95.5,35.4,"[""bulking"", ""high_protein""]",eu,main,4.3,3329,True,https://loremflickr.com/400/300/burger?lock=109
D0110,R12,Waffles Truyền thống,37000,982,162.7,58.6,10.7,"[""healthy""]",eu,main,4.0,621,True,https://loremflickr.com/400/300/waffles?lock=110
D0111,R12,Fries Truyền thống,94000,452,58.9,5.0,21.8,"[""high_protein""]",eu,main,4.9,1420,True,https://loremflickr.com/400/300/frenchfries?lock=111
D0112,R12,Sandwich Nhỏ,23000,382,40.9,5.0,22.1,"[""high_protein""]",eu,main,4.9,587,True,https://loremflickr.com/400/300/sandwich?lock=112
D0113,R12,Steak Mix,221000,856,35.5,100.3,34.9,"[""bulking"", ""high_protein""]",eu,main,4.2,1597,True,https://loremflickr.com/400/300/steak?lock=113
D0114,R12,Salad Nhỏ,23000,696,85.7,25.8,27.8,"[""low_carb""]",eu,main,4.3,1287,True,https://loremflickr.com/400/300/salad?lock=114
D0115,R12,Pasta Lớn,34000,482,39.5,42.3,17.2,"[""high_protein""]",eu,main,4.9,2221,True,https://loremflickr.com/400/300/pasta?lock=115
D0116,R12,Salad Nhỏ,61000,970,166.8,22.6,23.6,"[""low_carb""]",eu,main,5.0,2450,True,https://loremflickr.com/400/300/salad?lock=116
D0117,R12,Soup Mix,48000,406,30.8,13.6,25.4,"[""low_carb"", ""healthy""]",eu,main,4.2,3163,True,https://loremflickr.com/400/300/soup?lock=117
D0118,R12,Burger Đặc biệt,36000,732,85.7,64.3,14.7,"[""eat_clean"", ""healthy""]",eu,main,4.3,4043,True,https://loremflickr.com/400/300/burger?lock=118
D0119,R12,Salad Nhỏ,94000,345,36.2,5.0,20.1,"[""high_protein""]",eu,main,4.9,4468,True,https://loremflickr.com/400/300/salad?lock=119
D0120,R12,Sandwich Đặc biệt,95000,745,116.5,26.1,19.4,"[""low_carb""]",eu,main,4.9,1369,True,https://loremflickr.com/400/300/sandwich?lock=120
D0121,R5,Udon Mix,42000,980,44.2,93.4,47.7,"[""bulking"", ""high_protein""]",jp,main,4.6,4856,True,https://loremflickr.com/400/300/udon?lock=121
D0122,R5,Sushi Mix,28000,951,50.1,114.2,32.7,"[""bulking"", ""high_protein""]",jp,main,4.8,2725,True,https://loremflickr.com/400/300/sushi?lock=122
D0123,R5,Ramen Mix,19000,721,88.8,59.1,14.4,"[""healthy""]",jp,main,4.6,3627,True,https://loremflickr.com/400/300/ramen?lock=123
D0124,R5,Tempura Mix,31000,894,50.5,93.4,35.4,"[""bulking"", ""high_protein""]",jp,main,5.0,916,True,https://loremflickr.com/400/300/tempura?lock=124
D0125,R5,Sushi Nhỏ,36000,1008,184.5,31.1,16.2,"[""low_carb""]",jp,main,4.9,4793,True,https://loremflickr.com/400/300/sushi?lock=125
D0126,R5,Takoyaki Mix,37000,957,151.0,58.9,13.0,"[""eat_clean"", ""healthy""]",jp,main,4.9,3156,True,https://loremflickr.com/400/300/takoyaki?lock=126
D0127,R5,Takoyaki Nhỏ,71000,983,177.4,43.1,11.2,"[""eat_clean"", ""healthy""]",jp,main,4.4,223,True,https://loremflickr.com/400/300/takoyaki?lock=127
D0128,R5,Miso Soup Truyền thống,72000,850,45.2,98.7,30.5,"[""bulking"", ""high_protein""]",jp,main,4.6,436,True,https://loremflickr.com/400/300/soup?lock=128
D0129,R19,Sushi Nhỏ,23000,918,162.6,52.4,6.4,"[""healthy""]",jp,main,4.4,4756,True,https://loremflickr.com/400/300/sushi?lock=129
D0130,R19,Gyoza Mix,30000,284,5.0,33.0,14.7,"[""healthy""]",jp,main,4.9,1911,True,https://loremflickr.com/400/300/gyoza?lock=130
D0131,R19,Takoyaki Nhỏ,35000,696,44.1,91.4,17.1,"[""high_protein""]",jp,main,4.8,3564,True,https://loremflickr.com/400/300/takoyaki?lock=131
D0132,R19,Sushi Mix,40000,399,5.0,30.6,28.6,"[""low_carb"", ""healthy""]",jp,main,4.3,2384,True,https://loremflickr.com/400/300/sushi?lock=132
D0133,R19,Miso Soup Truyền thống,78000,684,109.9,41.6,8.7,"[""eat_clean"", ""healthy""]",jp,main,4.3,706,True,https://loremflickr.com/400/300/soup?lock=133
D0134,R19,Tonkatsu Đặc biệt,172000,921,54.8,111.7,28.3,"[""bulking"", ""high_protein""]",jp,main,4.1,4143,True,https://loremflickr.com/400/300/tonkatsu?lock=134
D0135,R19,Takoyaki Lớn,21000,931,136.8,36.3,26.5,"[""low_carb""]",jp,main,4.2,835,True,https://loremflickr.com/400/300/takoyaki?lock=135
D0136,R19,Tonkatsu Đặc biệt,76000,698,42.1,78.0,24.2,"[""high_protein""]",jp,main,4.2,2476,True,https://loremflickr.com/400/300/tonkatsu?lock=136
D0137,R13,Onigiri Mix,121000,489,46.2,37.9,17.0,"[""high_protein""]",jp,main,4.1,4316,True,https://loremflickr.com/400/300/onigiri?lock=137
D0138,R13,Ramen Nhỏ,179000,440,32.0,30.8,21.0,"[""low_carb"", ""healthy""]",jp,main,4.2,767,True,https://loremflickr.com/400/300/ramen?lock=138
D0139,R13,Gyoza Truyền thống,190000,736,106.3,39.2,17.1,"[""low_carb""]",jp,main,4.5,1524,True,https://loremflickr.com/400/300/gyoza?lock=139
D0140,R13,Ramen Mix,20000,970,38.3,103.1,44.9,"[""bulking"", ""high_protein""]",jp,main,4.4,4332,True,https://loremflickr.com/400/300/ramen?lock=140
D0141,R13,Takoyaki Đặc biệt,45000,238,5.0,21.0,14.9,"[""eat_clean"", ""healthy""]",jp,main,4.2,4695,True,https://loremflickr.com/400/300/takoyaki?lock=141
D0142,R13,Sushi Truyền thống,142000,348,48.7,5.0,14.9,"[""high_protein""]",jp,main,4.3,4182,True,https://loremflickr.com/400/300/sushi?lock=142
D0143,R13,Tonkatsu Mix,226000,964,40.3,161.2,17.6,"[""high_protein""]",jp,main,4.2,2821,True,https://loremflickr.com/400/300/tonkatsu?lock=143
D0144,R13,Sushi Truyền thống,206000,675,67.8,69.9,13.8,"[""eat_clean"", ""healthy""]",jp,main,4.3,2493,True,https://loremflickr.com/400/300/sushi?lock=144
D0145,R14,Takoyaki Đặc biệt,19000,427,54.7,40.5,5.2,"[""eat_clean"", ""healthy""]",jp,main,4.0,680,True,https://loremflickr.com/400/300/takoyaki?lock=145
D0146,R14,Udon Nhỏ,214000,680,53.3,60.8,24.8,"[""high_protein""]",jp,main,4.8,384,True,https://loremflickr.com/400/300/udon?lock=146
D0147,R14,Tempura Mix,63000,907,160.0,53.0,6.1,"[""healthy""]",jp,main,4.8,2917,True,https://loremflickr.com/400/300/tempura?lock=147
D0148,R14,Sushi Đặc biệt,17000,914,52.4,152.2,10.7,"[""high_protein""]",jp,main,4.4,4243,True,https://loremflickr.com/400/300/sushi?lock=148
D0149,R14,Takoyaki Nhỏ,23000,999,177.6,54.7,7.8,"[""eat_clean"", ""healthy""]",jp,main,4.9,2045,True,https://loremflickr.com/400/300/takoyaki?lock=149
D0150,R14,Takoyaki Đặc biệt,183000,1004,200.1,17.0,15.0,"[""low_carb""]",jp,main,4.2,1396,True,https://loremflickr.com/400/300/takoyaki?lock=150
D0151,R14,Takoyaki Lớn,22000,267,5.0,34.9,12.0,"[""eat_clean"", ""healthy""]",jp,main,4.3,414,True,https://loremflickr.com/400/300/takoyaki?lock=151
D0152,R14,Ramen Đặc biệt,17000,347,5.0,26.8,24.5,"[""low_carb"", ""healthy""]",jp,main,4.8,1401,True,https://loremflickr.com/400/300/ramen?lock=152
D0153,R15,Sushi Mix,50000,881,57.2,90.2,32.4,"[""bulking"", ""high_protein""]",jp,main,4.1,2913,True,https://loremflickr.com/400/300/sushi?lock=153
D0154,R15,Sushi Lớn,136000,940,174.9,40.2,8.8,"[""eat_clean"", ""healthy""]",jp,main,4.3,904,True,https://loremflickr.com/400/300/sushi?lock=154
D0155,R15,Miso Soup Đặc biệt,29000,941,45.8,97.7,40.9,"[""bulking"", ""high_protein""]",jp,main,4.6,120,True,https://loremflickr.com/400/300/soup?lock=155
D0156,R15,Sashimi Truyền thống,17000,670,106.1,42.1,8.6,"[""eat_clean"", ""healthy""]",jp,main,4.1,730,True,https://loremflickr.com/400/300/sashimi?lock=156
D0157,R15,Tempura Nhỏ,181000,989,184.5,45.6,7.6,"[""healthy""]",jp,main,4.4,2395,True,https://loremflickr.com/400/300/tempura?lock=157
D0158,R15,Tonkatsu Mix,197000,450,74.9,23.5,6.3,"[""healthy""]",jp,main,4.6,904,True,https://loremflickr.com/400/300/tonkatsu?lock=158
